Country,Land Area(Km2),Co2-Emissions,CPI,Fertility Rate,Forested Area (%),Gasoline Price,Life expectancy,Physicians per thousand,Population,Total tax rate,Unemployment rate,Regional indicator,Happiness score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,"652,230","8,672",149.9,4.47,2.10%,$0.70 ,64.5,0.28,"38,041,754",71.40%,11.12%,South Asia,1.859,0.341,54.712,0.382,-0.081,0.847
Albania,"28,748","4,536",119.05,1.62,28.10%,$1.36 ,78.5,1.2,"2,854,191",36.60%,12.33%,Central and Eastern Europe,5.277,0.718,69.15,0.794,-0.007,0.878
Algeria,"2,381,741","150,006",151.36,3.02,0.80%,$0.28 ,76.7,1.72,"43,053,054",66.10%,11.70%,Middle East and North Africa,5.329,0.855,66.549,0.571,-0.117,0.717
Argentina,"2,780,400","201,348",232.75,2.26,9.80%,$1.10 ,76.5,3.96,"44,938,712",106.30%,9.79%,Latin America and Caribbean,6.024,0.891,67.2,0.823,-0.089,0.814
Armenia,"29,743","5,156",129.18,1.76,11.70%,$0.77 ,74.9,4.4,"2,957,731",22.60%,16.99%,Commonwealth of Independent States,5.342,0.79,67.789,0.796,-0.155,0.705
Australia,"7,741,220","375,908",119.8,1.74,16.30%,$0.93 ,82.7,3.68,"25,766,605",47.40%,5.27%,North America and ANZ,7.095,0.934,71.05,0.89,0.198,0.496
Austria,"83,871","61,448",118.06,1.47,46.90%,$1.20 ,81.6,5.17,"8,877,067",51.40%,4.67%,Western Europe,7.097,0.888,71.15,0.855,0.102,0.497
Bahrain,765,"31,694",117.59,1.99,0.80%,$0.43 ,77.2,0.93,"1,501,635",13.80%,0.71%,Middle East and North Africa,6.173,0.844,65.825,0.944,0.117,0.737
Bangladesh,"148,460","84,246",179.68,2.04,11.00%,$1.12 ,72.3,0.58,"167,310,838",33.40%,4.19%,South Asia,4.282,0.544,64.548,0.845,0.005,0.698
Belgium,"30,528","96,889",117.11,1.62,22.60%,$1.43 ,81.6,3.07,"11,484,055",55.40%,5.59%,Western Europe,6.859,0.915,70.899,0.825,0.001,0.549
Benin,"112,622","6,476",110.71,4.84,37.80%,$0.72 ,61.5,0.08,"11,801,151",48.90%,2.23%,Sub-Saharan Africa,4.374,0.437,56.095,0.743,-0.043,0.576
Bolivia,"1,098,581","21,606",148.32,2.73,50.30%,$0.71 ,71.2,1.59,"11,513,100",83.70%,3.50%,Latin America and Caribbean,5.684,0.811,63.599,0.868,-0.063,0.846
Bosnia and Herzegovina,"51,197","21,848",104.9,1.27,42.70%,$1.05 ,77.3,2.16,"3,301,000",23.70%,18.42%,Central and Eastern Europe,5.633,0.88,67.275,0.746,0.206,0.918
Botswana,"581,730","6,340",149.75,2.87,18.90%,$0.71 ,69.3,0.37,"2,346,179",25.10%,18.19%,Sub-Saharan Africa,3.435,0.753,54.725,0.742,-0.215,0.83
Brazil,"8,515,770","462,299",167.4,1.73,58.90%,$1.02 ,75.7,2.15,"212,559,417",65.10%,12.08%,Latin America and Caribbean,6.125,0.836,65.749,0.801,-0.009,0.738
Bulgaria,"110,879","41,708",114.42,1.56,35.40%,$1.11 ,74.9,4.03,"6,975,761",28.30%,4.34%,Central and Eastern Europe,5.466,0.918,66.5,0.801,-0.057,0.911
Burkina Faso,"274,200","3,418",106.58,5.19,19.30%,$0.98 ,61.2,0.08,"20,321,378",41.30%,6.26%,Sub-Saharan Africa,4.638,0.663,55.461,0.696,0.095,0.771
Ivory Coast,"322,463","9,674",111.61,4.65,32.70%,$0.93 ,57.4,0.23,"25,716,544",50.10%,3.32%,Sub-Saharan Africa,5.053,0.572,55.953,0.733,0.003,0.746
Cambodia,"181,035","9,919",127.63,2.5,52.90%,$0.90 ,69.6,0.17,"16,486,542",23.10%,0.68%,Southeast Asia,4.393,0.747,61.9,0.958,0.073,0.857
Cameroon,"475,440","8,291",118.65,4.57,39.30%,$1.03 ,58.9,0.09,"25,876,380",57.70%,3.38%,Sub-Saharan Africa,4.973,0.686,55.847,0.686,0.015,0.846
Canada,"9,984,670","544,894",116.76,1.5,38.20%,$0.81 ,81.9,2.61,"36,991,981",24.50%,5.56%,North America and ANZ,6.961,0.929,71.4,0.874,0.153,0.42
Chad,"1,284,000","1,016",117.7,5.75,3.80%,$0.78 ,54.0,0.04,"15,946,876",63.50%,1.89%,Sub-Saharan Africa,4.397,0.722,53.125,0.677,0.221,0.807
Chile,"756,096","85,822",131.91,1.65,24.30%,$1.03 ,80.0,2.59,"18,952,038",34.00%,7.09%,Latin America and Caribbean,6.334,0.889,70.3,0.792,-0.011,0.823
China,"9,596,960","9,893,038",125.08,1.69,22.40%,$0.96 ,77.0,1.98,"1,397,715,000",59.20%,4.32%,East Asia,5.818,0.836,68.689,0.882,-0.041,0.727
Colombia,"1,138,910","97,814",140.95,1.81,52.70%,$0.68 ,77.1,2.18,"50,339,443",71.20%,9.71%,Latin America and Caribbean,5.63,0.822,69.35,0.804,-0.104,0.834
Costa Rica,"51,100","8,023",128.85,1.75,54.60%,$0.98 ,80.1,2.89,"5,047,561",58.30%,11.85%,Latin America and Caribbean,6.609,0.872,70.0,0.895,-0.07,0.768
Croatia,"56,594","17,488",109.82,1.47,34.40%,$1.26 ,78.1,3.0,"4,067,500",20.50%,6.93%,Central and Eastern Europe,6.125,0.917,68.95,0.757,-0.093,0.925
Cyprus,"9,251","6,626",102.51,1.33,18.70%,$1.23 ,80.8,1.95,"1,198,575",22.40%,7.27%,Western Europe,6.13,0.826,72.802,0.724,-0.06,0.86
Denmark,"43,094","31,786",110.35,1.73,14.70%,$1.55 ,81.0,4.01,"5,818,553",23.80%,4.91%,Western Europe,7.586,0.954,71.25,0.934,0.134,0.196
Dominican Republic,"48,670","25,258",135.5,2.35,41.70%,$1.07 ,73.9,1.56,"10,738,958",48.80%,5.84%,Latin America and Caribbean,5.569,0.827,64.399,0.85,-0.099,0.657
Ecuador,"283,561","41,155",124.14,2.43,50.20%,$0.61 ,76.8,2.04,"17,373,662",34.40%,3.97%,Latin America and Caribbean,5.559,0.806,69.0,0.802,-0.108,0.833
Egypt,"1,001,450","238,560",288.57,3.33,0.10%,$0.40 ,71.8,0.45,"100,388,073",44.40%,10.76%,Middle East and North Africa,4.17,0.726,63.503,0.732,-0.183,0.58
El Salvador,"21,041","7,169",111.23,2.04,12.60%,$0.83 ,73.1,1.57,"6,453,553",36.40%,4.11%,Latin America and Caribbean,6.122,0.755,65.597,0.918,-0.108,0.62
Estonia,"45,228","16,590",122.14,1.59,51.30%,$1.14 ,78.2,4.48,"1,331,824",47.80%,5.11%,Central and Eastern Europe,6.455,0.946,69.65,0.929,0.032,0.409
Ethiopia,"1,104,300","14,870",143.86,4.25,12.50%,$0.75 ,66.2,0.08,"112,078,730",37.70%,2.08%,Sub-Saharan Africa,4.091,0.782,60.698,0.72,0.273,0.789
Finland,"338,145","45,871",112.33,1.41,73.10%,$1.45 ,81.7,3.81,"5,520,314",36.60%,6.59%,Western Europe,7.804,0.969,71.15,0.961,-0.019,0.182
France,"643,801","303,276",110.05,1.88,31.20%,$1.39 ,82.5,3.27,"67,059,887",60.70%,8.43%,Western Europe,6.661,0.909,72.3,0.819,-0.1,0.553
Gabon,"267,667","5,321",122.19,3.97,90.00%,$0.92 ,66.2,0.68,"2,172,579",47.10%,20.00%,Sub-Saharan Africa,5.035,0.746,58.252,0.642,-0.187,0.786
Georgia,"69,700","10,128",133.61,2.06,40.60%,$0.76 ,73.6,7.12,"3,720,382",9.90%,14.40%,Commonwealth of Independent States,5.109,0.716,64.95,0.786,-0.254,0.649
Germany,"357,022","727,973",112.85,1.56,32.70%,$1.39 ,80.9,4.25,"83,132,799",48.80%,3.04%,Western Europe,6.892,0.896,71.3,0.846,0.03,0.42
Ghana,"238,533","16,670",268.36,3.87,41.20%,$0.92 ,63.8,0.14,"30,792,608",55.40%,4.33%,Sub-Saharan Africa,4.605,0.641,58.763,0.777,0.139,0.881
Greece,"131,957","62,434",101.87,1.35,31.70%,$1.54 ,81.3,5.48,"10,716,322",51.90%,17.24%,Western Europe,5.931,0.835,71.15,0.568,-0.24,0.793
Guatemala,"108,889","16,777",142.92,2.87,32.70%,$0.79 ,74.1,0.35,"16,604,026",35.20%,2.46%,Latin America and Caribbean,6.15,0.812,62.9,0.856,-0.057,0.837
Guinea,"245,857","2,996",262.95,4.7,25.80%,$0.90 ,61.2,0.08,"12,771,246",69.30%,4.30%,Sub-Saharan Africa,5.072,0.649,54.185,0.659,0.125,0.787
Honduras,"112,090","9,813",150.34,2.46,40.00%,$0.98 ,75.1,0.31,"9,746,117",39.10%,5.39%,Latin America and Caribbean,6.023,0.766,64.063,0.843,0.097,0.843
Hungary,"93,028","45,537",121.64,1.54,22.90%,$1.18 ,75.8,3.41,"9,769,949",37.90%,3.40%,Central and Eastern Europe,6.041,0.943,67.5,0.758,-0.059,0.839
Iceland,"103,000","2,065",129,1.71,0.50%,$1.69 ,82.7,4.08,"361,313",31.90%,2.84%,Western Europe,7.53,0.983,72.05,0.936,0.211,0.668
India,"3,287,263","2,407,672",180.44,2.22,23.80%,$0.97 ,69.4,0.86,"1,366,417,754",49.70%,5.36%,South Asia,4.036,0.608,60.777,0.897,0.072,0.774
Indonesia,"1,904,569","563,325",151.18,2.31,49.90%,$0.63 ,71.5,0.43,"270,203,917",30.10%,4.69%,Southeast Asia,5.277,0.804,63.048,0.88,0.531,0.876
Iran,"1,648,195","661,710",550.93,2.14,6.60%,$0.40 ,76.5,1.58,"82,913,906",44.70%,11.38%,Middle East and North Africa,4.876,0.778,66.6,0.593,0.173,0.747
Iraq,"438,317","190,061",119.86,3.67,1.90%,$0.61 ,70.5,0.71,"39,309,783",30.80%,12.82%,Middle East and North Africa,4.941,0.718,63.415,0.646,-0.005,0.876
Israel,"20,770","65,166",108.15,3.09,7.70%,$1.57 ,82.8,4.62,"9,053,300",25.30%,3.86%,Middle East and North Africa,7.473,0.943,72.697,0.809,-0.023,0.708
Italy,"301,340","320,411",110.62,1.29,31.80%,$1.61 ,82.9,3.98,"60,297,396",59.10%,9.89%,Western Europe,6.405,0.882,72.05,0.711,-0.074,0.842
Jamaica,"10,991","8,225",162.47,1.98,30.90%,$1.11 ,74.4,1.31,"2,948,279",35.10%,8.00%,Latin America and Caribbean,5.703,0.867,66.6,0.822,-0.106,0.875
Japan,"377,944","1,135,886",105.48,1.42,68.50%,$1.06 ,84.2,2.41,"126,226,568",46.70%,2.29%,East Asia,6.129,0.894,74.349,0.799,-0.237,0.64
Jordan,"89,342","25,108",125.6,2.76,1.10%,$1.10 ,74.4,2.32,"10,101,694",28.60%,14.72%,Middle East and North Africa,4.12,0.729,67.6,0.77,-0.15,0.687
Kazakhstan,"2,724,900","247,207",182.75,2.84,1.20%,$0.42 ,73.2,3.25,"18,513,930",28.40%,4.59%,Commonwealth of Independent States,6.144,0.931,65.802,0.853,0.0,0.721
Kenya,"580,367","17,910",180.51,3.49,7.80%,$0.95 ,66.3,0.16,"52,573,973",37.20%,2.64%,Sub-Saharan Africa,4.487,0.69,58.499,0.696,0.288,0.852
Kyrgyzstan,"199,951","9,787",155.68,3.3,3.30%,$0.56 ,71.4,1.88,"6,456,900",29.00%,6.33%,Commonwealth of Independent States,5.825,0.911,66.852,0.934,0.181,0.904
Laos,"236,800","17,763",135.87,2.67,82.10%,$0.93 ,67.6,0.37,"7,169,455",24.10%,0.63%,Southeast Asia,5.111,0.679,60.946,0.919,0.091,0.703
Latvia,"64,589","7,004",116.86,1.6,54.00%,$1.16 ,74.7,3.19,"1,912,789",38.10%,6.52%,Central and Eastern Europe,6.213,0.937,66.4,0.818,-0.056,0.83
Lebanon,"10,400","24,796",130.02,2.09,13.40%,$0.74 ,78.9,2.1,"6,855,713",32.20%,6.23%,Middle East and North Africa,2.392,0.53,66.149,0.474,-0.141,0.891
Liberia,"111,369","1,386",223.13,4.32,43.10%,$0.80 ,63.7,0.04,"4,937,374",46.20%,2.81%,Sub-Saharan Africa,4.042,0.596,56.7,0.735,0.154,0.83
Lithuania,"65,300","12,963",118.38,1.63,34.80%,$1.16 ,75.7,6.35,"2,786,844",42.60%,6.35%,Central and Eastern Europe,6.763,0.939,67.397,0.748,-0.145,0.805
Luxembourg,"2,586","8,988",115.09,1.37,35.70%,$1.19 ,82.1,3.01,"645,397",20.40%,5.36%,Western Europe,7.228,0.879,71.675,0.915,0.024,0.345
Madagascar,"587,041","3,905",184.33,4.08,21.40%,$1.11 ,66.7,0.18,"26,969,307",38.30%,1.76%,Sub-Saharan Africa,4.019,0.65,58.05,0.522,0.075,0.742
Malawi,"118,484","1,298",418.34,4.21,33.20%,$1.15 ,63.8,0.04,"18,628,747",34.50%,5.65%,Sub-Saharan Africa,3.495,0.531,58.475,0.75,0.005,0.749
Malaysia,"329,847","248,289",121.46,2.0,67.60%,$0.45 ,76.0,1.51,"32,447,385",38.70%,3.32%,Southeast Asia,6.012,0.799,65.662,0.877,0.16,0.758
Mali,"1,240,192","3,179",108.73,5.88,3.80%,$1.12 ,58.9,0.13,"19,658,031",54.50%,7.22%,Sub-Saharan Africa,4.198,0.593,55.403,0.713,-0.028,0.846
Malta,316,"1,342",113.45,1.23,1.10%,$1.36 ,82.3,2.86,"502,653",44.00%,3.47%,Western Europe,6.3,0.923,71.6,0.886,0.119,0.729
Mauritania,"1,030,700","2,739",135.02,4.56,0.20%,$1.13 ,64.7,0.19,"4,525,696",67.00%,9.55%,Sub-Saharan Africa,4.724,0.644,60.475,0.622,-0.013,0.657
Mauritius,"2,040","4,349",129.91,1.41,19.00%,$1.12 ,74.4,2.53,"1,265,711",22.20%,6.67%,Sub-Saharan Africa,5.902,0.888,63.85,0.813,-0.028,0.775
Mexico,"1,964,375","486,406",141.54,2.13,33.90%,$0.73 ,75.0,2.38,"126,014,024",55.10%,3.42%,Latin America and Caribbean,6.33,0.804,65.8,0.856,-0.094,0.768
Moldova,"33,851","5,115",166.2,1.26,12.60%,$0.80 ,71.8,3.21,"2,657,637",38.70%,5.47%,Commonwealth of Independent States,5.819,0.857,65.299,0.84,-0.08,0.901
Mongolia,"1,564,116","25,368",195.76,2.9,8.00%,$0.72 ,69.7,2.86,"3,225,167",25.70%,6.01%,East Asia,5.84,0.933,60.5,0.701,0.19,0.849
Montenegro,"13,812","2,017",116.32,1.75,61.50%,$1.16 ,76.8,2.76,"622,137",22.20%,14.88%,Central and Eastern Europe,5.722,0.89,67.1,0.805,0.063,0.844
Morocco,"446,550","61,276",111.07,2.42,12.60%,$0.99 ,76.5,0.73,"36,910,560",45.80%,9.02%,Middle East and North Africa,4.903,0.553,63.901,0.787,-0.231,0.811
